"acc_num","eppi_id","short_title","title","journal","year","date_assessed","person","include","reason","country","geographic_region","site_details","comparator","wetland_class","saline_or_freshwater","disturbance_category","disturbance_type","restoration_time_period","restoration_activity","time_since_restoration","study_information","notes","measured_outcome","other_outcome","multivariate_community_composition","univariate_diversity_metric","richness","abundance_density","cover","biomass","stem_density","litter_biomass","canopy_height_structure","primary_productivity","body_size","bulk_density","soil_organic_matter","organic_carbon","cation_exchange_capacity","total_carbon","phosphorus","microbial_biomass","physiochemical_soil_property","soil_nutrients","carbon_mineralization","physiochemical_water_properties","plant_tissues_chemical_analysis","eddy_flux_measurements","ghg_emissions","gross_ecosystem_productivity","hydrology","other"
"A1","2","Poulin et al 2013","A New Approach for Tracking Vegetation Change after Restoration: A Case Study with Peatlands","Restoration Ecology","2013","01-Mar-23","CR","Y","","Canada","Quebec","Bois-de-Bel","Disturbed, Restored, Reference","peatland","freshwater","Biological resource use","Horticultural peat extraction","1999","Moss layer transfer technique","1 to 7 years ","Monitoring (systematic line point intercept method), Monitoring restored vs unrestored peatland 1 year before restoration and every 2 years after to detect presence/absence of plant species. Seven open and forested peatlands in the region were surveyed as ""reference"" conditions"" in 2007 only.","","Vegetation","",NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A3","5","Able et al 2000","Initial response of fishes to marsh restoration at a former salt hay farm bordering Delaware Bay","Concepts and controversies in tidal marsh ecology","2000","02-Nov-23","CR","Y","","USA","New Jersey","Delaware Bay","Reference, Restored","marsh","saline","Agriculture and aquaculture","Salt hay farm","1996","Opening up dikes, created channels","< 1 year","BACI, Sampling five locations in October 1994 and July/August 1996 pre-restoration and after restoration (not specified); reference sites sampled at same time after restoration","","Fish","",1,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A4","6","Able et al 2003","Mechanisms of marsh habitat alteration due to phragmites: Response of young-of-the-year Mummichog (Fundulus heteroclitus) to treatment for Phragmites removal","Estuaries","2003","02-Nov-23","CR","Y","","USA","New Jersey","Delaware Bay","Disturbed, Restored, Reference","marsh","saline","Invasive and other problematic species/genes","Invasive species (Phragmites)","1996-1998","Invasive species control; Rodeo herbicide and burning (phragmites)","2-4 years","Within year comparison, Comparing restored, reference, and invaded habitat (n = 9)","Phragmites (disturbed), treated, and spartina (reference/native)","Fish","",NA,NA,NA,1,NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A4","6","Able et al 2003","Mechanisms of marsh habitat alteration due to phragmites: Response of young-of-the-year Mummichog (Fundulus heteroclitus) to treatment for Phragmites removal","Estuaries","2003","02-Nov-23","CR","Y","","USA","New Jersey","Delaware Bay","Disturbed, Restored, Reference","marsh","saline","Invasive and other problematic species/genes","Invasive species (Phragmites)","1996-1998","Invasive species control; Rodeo herbicide and burning (phragmites)","2-4 years","Within year comparison, Comparing restored, reference, and invaded habitat (n = 9)","","Vegetation","",NA,NA,NA,NA,NA,1,"1",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A5","7","Able et al 2004","Evaluating salt marsh restoration in Delaware Bay: Analysis of fish response at former salt hay farms","Estuaries","2004","02-Nov-23","CR","Y","","USA","New Jersey","Delaware Bay","Reference, Restored","marsh","saline","Agriculture and aquaculture","Salt hay farm","1996 (Dennis Township), 1997 (Commercial Township)","Opening up dikes, created channels","1-2 years","Before-After (restored sites), Unclear","","Fish","",1,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A6","8","Able et al 2008","Long-term response of fishes and other fauna to restoration of former salt hay farms: multiple measures of restoration success","Rev Fish Biol Fisheries","2008","02-Nov-23","CR","Y","","USA","New Jersey","Delaware Bay","Reference, Restored","marsh","saline","Agriculture and aquaculture","Salt hay farm","1996 (Dennis Township), 1997 (Commercial Township)","Opening up dikes, created channels","1-8 years","After restoration compare with reference site, After restoration compare with reference site","","Fish","",1,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A6","8","Able et al 2008","Long-term response of fishes and other fauna to restoration of former salt hay farms: multiple measures of restoration success","Rev Fish Biol Fisheries","2008","02-Nov-23","CR","Y","","USA","New Jersey","Delaware Bay","Reference, Restored","marsh","saline","Agriculture and aquaculture","Salt hay farm","1996 (Dennis Township), 1997 (Commercial Township)","Opening up dikes, created channels","1-8 years","After restoration compare with reference site, After restoration compare with reference site","","Benthic infauna","",NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A6","8","Able et al 2008","Long-term response of fishes and other fauna to restoration of former salt hay farms: multiple measures of restoration success","Rev Fish Biol Fisheries","2008","02-Nov-23","CR","Y","","USA","New Jersey","Delaware Bay","Reference, Restored","marsh","saline","Agriculture and aquaculture","Salt hay farm","1996 (Dennis Township), 1997 (Commercial Township)","Opening up dikes, created channels","1-8 years","After restoration compare with reference site, After restoration compare with reference site","","Vegetation","",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A9","16","Aldous et al 2005","Hydrologic regime controls soil phosphorus fluxes in restoration and undisturbed wetlands","Restoration Ecology","2005","09-Nov-23","CR","Y","","USA","Oregon","Upper Klamath Lake","Reference, Restored","marsh","freshwater","Agriculture and aquaculture","Drained for agriculture","1997,1998,1998, respectively","Reflooding","87, 58, 38","Soil cores from each wetland exposed to different hydrological regimes, 20 cm soil cores, total of 54, from each site and taken to lab under different hydrological regimes (dry (dried out), moise (pore space filled and no standing water), flooded (5 cm standing water))","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A12","30","Anderson et al 2006","The physicochemical and microbiological status of a restored bog in Quebec: Identification of relevant criteria to monitor success","Soil Biology and Biochemistry","2006","09-Nov-23","CR","Y","","Canada","Quebec","Bois-de-Bel","Disturbed, Restored, Reference","peatland","freshwater","Biological resource use","Drained and vacuumed harvest then abandoned for 20 years","1999","Plant fragments added, blocking drainage ditches, P fertilization","4 years","Peat sampled in natural, restored, and cutover sites at one time point, Peat collected at three stations at each site; peat at different depths were collected","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"1",NA,NA,NA,NA,NA,"",""
"A13","31","Anderson et al 2010","Peat, Water and Plant Tissue Chemistry Monitoring: A Seven-Year Case-Study in a Restored Peatland","Wetlands","2010","10-Nov-23","CR","Y","","Canada","Quebec","Bois-de-Bel","Disturbed, Restored, Reference","peatland","freshwater","Biological resource use","Drained and vacuumed harvest then abandoned for 20 years","1999","Sphagnum moss layer transfer, drainage ditch blocked, P fertilization","1 - 7 years","Sampled restored, natural, non-restored after restoration, Peat collected at restored and non-restored sites, water samples monthly in all sites; plant tissue once a year in all three sites","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,1,NA,NA,NA,"",""
"A14","32","Anderson et al 2010","Changes in microbial community structure and function following Sphagnum peatland restoration","Soil Biology and Biochemistry","2010","10-Nov-23","CR","Y","","Canada","Quebec","Bois-de-Bel","Disturbed, Restored, Reference","peatland","freshwater","Biological resource use","Drained and vacuumed harvest then abandoned for 20 years","1999","Sphagnum moss layer transfer, drainage ditch blocked, P fertilization","7 years","Non-restored and restored sites sampled, at each location a trench was dug and three peat samples were collected, three replicate samples of peat layer (P 293), ","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"",1,NA,NA,NA,NA,"",""
"A14","32","Anderson et al 2010","Changes in microbial community structure and function following Sphagnum peatland restoration","Soil Biology and Biochemistry","2010","10-Nov-23","CR","Y","","Canada","Quebec","Bois-de-Bel","Disturbed, Restored, Reference","peatland","freshwater","Biological resource use","Drained and vacuumed harvest then abandoned for 20 years","1999","Sphagnum moss layer transfer, drainage ditch blocked, P fertilization","7 years","Non-restored and restored sites sampled, at each location a trench was dug and three peat samples were collected, three replicate samples of peat layer (P 293), ","","Vegetation","",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
