ACC_NUM,EPPI ID,Short Title,Title,Journal,Year,Date Assessed,Include,Reason,Country,Geographic Region,Site details,Comparator,Wetland Class,Saline or freshwater,Disturbance Category,Disturbance Type,Restoration time period,Restoration Activity,Time Since Restoration,Study Information,Notes,Measured Outcome,Other outcome,Multivariate community composition,Univariate diversity metric,Richness,Abundance/Density,Cover,Biomass,Stem density,Litter biomass,Canopy height/Structure,Primary Productivity,Body size,Bulk density,Soil Organic Matter,Organic carbon,Cation exchange capacity,Total carbon,Phosphorus,Microbial biomass,Physiochemical soil property,Soil nutrients,Carbon mineralization,Physiochemical water properties,Plant Tissues (chemical analysis),Eddy Flux measurements,GHG Emissions,Gross Ecosystem Productivity,Hydrology,Other,,,,,,
A1,2,Poulin et al 2013,A New Approach for Tracking Vegetation Change after Restoration: A Case Study with Peatlands,Restoration Ecology,2013,01-Mar-23,Y,,Canada,Quebec,Bois-de-Bel,,peatland,freshwater,Biological resource use,Horticultural peat extraction,1999,Moss layer transfer technique,1 to 7 years ,"Monitoring (systematic line point intercept method), Monitoring restored vs unrestored peatland 1 year before restoration and every 2 years after to detect presence/absence of plant species. Seven open and forested peatlands in the region were surveyed as ""reference"" conditions"" in 2007 only.",,Vegetation,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,4,Abbott et al 2019,Factors influencing blue carbon accumulation across a 32-year chronosequence of created coastal marshes,Ecosphere,2019,01-Mar-23,N,"Louisiana, too southern",USA,Louisiana,"Sabine National Wildlife Refuge, Chenier Plain",,marsh,saline,,"Dredged and salt water intrusion, then subsurface fluid production and dredging",1983,Created marshes via pumpin dredge material into open water areas,5 - 32 years,"Chronosequence, Random sampling within each marsh site. Soil cores (PVC soil cores)",,Abiotic,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,
A3,5,Able et al 2000,Initial response of fishes to marsh restoration at a former salt hay farm bordering Delaware Bay,Concepts and controversies in tidal marsh ecology,2000,02-Nov-23,Y,,USA,New Jersey,Delaware Bay,,marsh,saline,Agriculture and aquaculture,Salt hay farm,1996,"Opening up dikes, created channels",< 1 year,"BACI, Sampling five locations in October 1994 and July/August 1996 pre-restoration and after restoration (not specified); reference sites sampled at same time after restoration",,Fish,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,6,Able et al 2003,Mechanisms of marsh habitat alteration due to phragmites: Response of young-of-the-year Mummichog (Fundulus heteroclitus) to treatment for Phragmites removal,Estuaries,2003,02-Nov-23,Y,,USA,New Jersey,Delaware Bay,,marsh,saline,Invasive and other problematic species/genes,Invasive species (Phragmites),1996-1998,Invasive species control; Rodeo herbicide and burning (phragmites),2-4 years,"Within year comparison, Comparing restored, reference, and invaded habitat (n = 9)",,Fish,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
A4,6,Able et al 2003,Mechanisms of marsh habitat alteration due to phragmites: Response of young-of-the-year Mummichog (Fundulus heteroclitus) to treatment for Phragmites removal,Estuaries,2003,02-Nov-23,Y,,USA,New Jersey,Delaware Bay,,marsh,saline,Invasive and other problematic species/genes,Invasive species (Phragmites),1996-1998,Invasive species control; Rodeo herbicide and burning (phragmites),2-4 years,"Within year comparison, Comparing restored, reference, and invaded habitat (n = 9)",,Vegetation,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
A5,7,Able et al 2004,Evaluating salt marsh restoration in Delaware Bay: Analysis of fish response at former salt hay farms,Estuaries,2004,02-Nov-23,Y,,USA,New Jersey,Delaware Bay,,marsh,saline,Agriculture and aquaculture,Salt hay farm,"1996 (Dennis Township), 1997 (Commercial Township)","Opening up dikes, created channels",1-2 years,"Before-After (restored sites), Unclear",,Fish,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6,8,Able et al 2008,Long-term response of fishes and other fauna to restoration of former salt hay farms: multiple measures of restoration success,Rev Fish Biol Fisheries,2008,02-Nov-23,Y,,USA,New Jersey,Delaware Bay,,marsh,saline,Agriculture and aquaculture,Salt hay farm,"1996 (Dennis Township), 1997 (Commercial Township)","Opening up dikes, created channels",1-8 years,"After restoration compare with reference site, After restoration compare with reference site",,Fish,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6,8,Able et al 2008,Long-term response of fishes and other fauna to restoration of former salt hay farms: multiple measures of restoration success,Rev Fish Biol Fisheries,2008,02-Nov-23,Y,,USA,New Jersey,Delaware Bay,,marsh,saline,Agriculture and aquaculture,Salt hay farm,"1996 (Dennis Township), 1997 (Commercial Township)","Opening up dikes, created channels",1-8 years,"After restoration compare with reference site, After restoration compare with reference site",,Benthic infauna,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6,8,Able et al 2008,Long-term response of fishes and other fauna to restoration of former salt hay farms: multiple measures of restoration success,Rev Fish Biol Fisheries,2008,02-Nov-23,Y,,USA,New Jersey,Delaware Bay,,marsh,saline,Agriculture and aquaculture,Salt hay farm,"1996 (Dennis Township), 1997 (Commercial Township)","Opening up dikes, created channels",1-8 years,"After restoration compare with reference site, After restoration compare with reference site",,Vegetation,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7,10,Adams and Galatowitsch 2006,Increasing the effectiveness of reed canary grass (Phalaris arundinacea L.) control in wet meadow restorations,Restoration Ecology,2006,09-Nov-23,N,"No reference/disturbed site - compared invasive species treatment among two sites, treatment occurred at both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8,14,Ahmad et al 2020,Long-term rewetting of degraded peatlands restores hydrological buffer function,Science of the Total Environment,2020,09-Nov-23,N,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
